DataSource,Eruption,Ti_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Th_ppm,U_ppm
Curryetal2021b,SnowshoeMountainTuff,15.86732902,0.334966116,1048.497894,422452.6796,1.27150396,0.027429481,17.69197773,0.293263918,4.462098251,6.671242861,1.684219698,29.53213629,8.479274834,96.61315614,34.20419645,160.5598883,31.87409428,288.0015648,58.90385967,8677.324063,0.507784004,122.999558,121.1408935
Curryetal2021b,SnowshoeMountainTuff,16.54914464,0.302826594,486.8033144,422944.4361,1.237797358,0.034289292,14.96325599,0.07941157,1.137769889,2.121292443,0.68271334,11.99605526,3.55487271,42.24701957,15.20887061,74.49261738,15.70597778,149.2119822,32.02091242,8623.965067,0.520784898,59.99619684,85.73227937
Curryetal2021b,SnowshoeMountainTuff,9.69255451,0.252764291,492.4888127,405800.4774,1.539004649,NA,17.11575123,0.039530582,0.954946888,1.962726935,0.482488134,10.72494398,3.398972836,40.91953694,15.68012532,76.84840811,16.81821446,160.0861766,34.65143503,9177.30947,0.755753733,84.64754841,137.6338757
Curryetal2021b,SnowshoeMountainTuff,10.38655417,0.305747759,334.0371244,433507.0922,1.206021905,0.020876342,13.4161558,0.029436056,0.444061377,1.153526376,0.278460838,6.21447252,2.08899177,27.03677174,10.44473765,54.85794307,11.73255822,115.7664234,24.9458515,10076.32472,0.656863929,45.71614452,84.1084091
Curryetal2021b,SnowshoeMountainTuff,12.94993085,0.30304048,696.4804221,417187.0942,1.04571411,0.01431514,13.9310069,0.129078558,2.322427485,4.325711823,1.189715414,18.94905195,5.549539399,62.55520114,22.51042566,105.2246746,21.83886049,201.4895537,41.9851206,9111.685397,0.536426609,74.57960705,93.62831869
Curryetal2021b,SnowshoeMountainTuff,11.84104066,0.292327789,494.4657391,433811.0622,1.549356483,NA,17.70709962,0.047569309,0.683305502,2.00248669,0.520974917,10.48314282,3.39835031,41.98012668,15.41322578,76.86833319,16.71492942,158.2589661,34.08908377,9836.109085,0.621033378,70.79030613,116.0553709
Curryetal2021b,SnowshoeMountainTuff,6.011943932,0.370378433,1139.678192,436681.2987,4.852037871,0.014802728,55.57312249,0.109034281,2.022957873,4.129175243,1.347680613,24.40442295,7.890652479,97.43391607,36.66439499,181.6888825,37.99016179,351.2232536,72.88576124,10169.4588,1.426910555,419.5366905,411.1020087
Curryetal2021b,SnowshoeMountainTuff,5.583674401,0.318073108,647.6318531,393625.9899,2.936231174,0.016605657,24.41089864,0.043043273,0.839653112,2.13159595,0.580400096,11.34793623,3.961815965,51.15973708,19.99934868,106.6742296,23.80071409,231.3894191,51.74867591,9076.43914,1.064908712,100.9056309,168.7892121
Curryetal2021b,SnowshoeMountainTuff,10.32991037,0.301278353,507.591607,400901.1128,2.110013127,NA,18.21952157,0.04556978,0.900772112,2.258010985,0.668384387,10.91938561,3.569212978,41.53117403,15.94911904,79.78072906,17.66741556,162.6018996,35.52372593,9250.171769,0.698411727,123.0992609,155.5518941
Curryetal2021b,SnowshoeMountainTuff,13.02910159,0.394661586,1062.725756,421480.379,2.709226771,0.031552987,32.65252703,0.226002938,3.110466202,6.232303033,1.203984629,29.57495407,8.646959063,99.40443842,35.32286234,164.5265721,33.58594731,303.5188868,61.93037332,8989.12666,1.00184962,332.4276327,256.3594239
