DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
Curryetal2021a,SnowshoeMountainTuff,44.98,8.66,13.87,13.18,0.5633,2,0.9945,1.8,11.26,NA,NA,0.1124,NA,97.4851
Curryetal2021a,SnowshoeMountainTuff,45.24,8.42,15.2,12.68,0.5675,1.6342,1.0324,1.76,11.53,NA,NA,0.1538,NA,98.2179
Curryetal2021a,SnowshoeMountainTuff,45.24,8.39,15.06,12.8,0.5698,1.6335,1.0236,1.73,11.53,NA,NA,0.1458,NA,98.1228
Curryetal2021a,SnowshoeMountainTuff,45.34,8.3,15.14,12.73,0.5617,1.628,1.0253,1.73,11.49,NA,NA,0.1537,NA,98.0988
Curryetal2021a,SnowshoeMountainTuff,45.1,8.37,15.23,12.66,0.5801,1.6114,1.0341,1.71,11.42,NA,NA,0.1577,NA,97.8734
Curryetal2021a,SnowshoeMountainTuff,45.04,8.46,15.05,12.59,0.5564,1.6328,1.0712,1.74,11.41,NA,NA,0.1518,NA,97.7022
Curryetal2021a,SnowshoeMountainTuff,47.92,6.24,13.21,14.57,0.8433,1.0919,0.6469,1.44,11.5,NA,NA,0.0816,NA,97.5438
Curryetal2021a,SnowshoeMountainTuff,47.96,6.18,13.27,14.52,0.852,1.1171,0.6397,1.44,11.43,NA,NA,0.0854,NA,97.4943
Curryetal2021a,SnowshoeMountainTuff,47.93,6.24,13.18,14.47,0.8666,1.1054,0.6346,1.44,11.47,NA,NA,0.0863,NA,97.423
Curryetal2021a,SnowshoeMountainTuff,48.22,6.21,13.35,14.46,0.856,1.1047,0.6293,1.47,11.4,NA,NA,0.0878,NA,97.7878
Curryetal2021a,SnowshoeMountainTuff,48.11,6.24,13.25,14.42,0.8456,1.0997,0.6256,1.44,11.41,NA,NA,0.0874,NA,97.5284
Curryetal2021a,SnowshoeMountainTuff,47.96,6.23,13.23,14.49,0.8396,1.1126,0.6307,1.44,11.38,NA,NA,0.0874,NA,97.4004
Curryetal2021a,SnowshoeMountainTuff,47.94,6.08,13.12,14.49,0.8291,1.1278,0.6352,1.42,11.43,NA,NA,0.0828,NA,97.155
Curryetal2021a,SnowshoeMountainTuff,47.94,6.21,13.19,14.5,0.8231,1.1259,0.6319,1.48,11.41,NA,NA,0.0845,NA,97.3955
Curryetal2021a,SnowshoeMountainTuff,48.2,5.92,12.99,14.69,0.8472,1.0573,0.5958,1.41,11.42,NA,NA,0.0728,NA,97.2031
Curryetal2021a,SnowshoeMountainTuff,48.44,5.84,13.08,14.61,0.8264,1.0759,0.605,1.41,11.48,NA,NA,0.0824,NA,97.4498
Curryetal2021a,SnowshoeMountainTuff,48.24,5.75,12.93,14.69,0.8177,1.058,0.6065,1.4,11.34,NA,NA,0.078,NA,96.9103
Curryetal2021a,SnowshoeMountainTuff,48.19,5.8,12.86,14.65,0.8309,1.0431,0.5923,1.36,11.37,NA,NA,0.0729,NA,96.7693
Curryetal2021a,SnowshoeMountainTuff,48.43,5.73,12.77,14.76,0.8436,1.0457,0.5833,1.4,11.4,NA,NA,0.0731,NA,97.0358
Curryetal2021a,SnowshoeMountainTuff,48.13,5.75,12.83,14.8,0.8162,1.0501,0.5955,1.42,11.39,NA,NA,0.0742,NA,96.8561
Curryetal2021a,SnowshoeMountainTuff,48.41,5.76,12.95,14.79,0.8316,1.0624,0.6027,1.41,11.43,NA,NA,0.0735,NA,97.3203
Curryetal2021a,SnowshoeMountainTuff,48.07,5.82,12.84,14.76,0.8157,1.0848,0.5906,1.43,11.37,NA,NA,0.086,NA,96.8671
Curryetal2021a,SnowshoeMountainTuff,48.44,6.1,13.2,14.68,0.8151,1.0819,0.6246,1.42,11.19,NA,NA,0.0772,NA,97.6289
Curryetal2021a,SnowshoeMountainTuff,48.55,6.13,13.18,14.67,0.8032,1.1112,0.6272,1.4,11.15,NA,NA,0.0827,NA,97.7043
Curryetal2021a,SnowshoeMountainTuff,48.18,6.17,13.12,14.56,0.762,1.18,0.6536,1.43,11.26,NA,NA,0.0833,NA,97.399
Curryetal2021a,SnowshoeMountainTuff,48.49,6.04,13.11,14.58,0.782,1.1603,0.6383,1.42,11.23,NA,NA,0.085,NA,97.5357
Curryetal2021a,SnowshoeMountainTuff,50.13,5.01,12.24,15.46,0.8889,0.8187,0.4815,1.0947,11.64,NA,NA,0.0565,NA,97.8204
Curryetal2021a,SnowshoeMountainTuff,50.06,5.04,12.22,15.46,0.8895,0.8268,0.478,1.1432,11.58,NA,NA,0.0515,NA,97.7491
Curryetal2021a,SnowshoeMountainTuff,49.66,5.15,12.26,15.35,0.889,0.852,0.4891,1.1451,11.59,NA,NA,0.0581,NA,97.4434
Curryetal2021a,SnowshoeMountainTuff,49.57,5.22,12.25,15.35,0.8924,0.8601,0.4983,1.1765,11.61,NA,NA,0.061,NA,97.4884
Curryetal2021a,SnowshoeMountainTuff,49.41,5.62,12.42,15.22,0.8685,0.9359,0.5257,1.2513,11.63,NA,NA,0.0681,NA,97.9496
Curryetal2021a,SnowshoeMountainTuff,49.07,5.41,12.27,15.03,0.8361,0.9297,0.5165,1.1707,12.09,NA,NA,0.0693,NA,97.3924
Curryetal2021a,SnowshoeMountainTuff,49.26,5.67,12.5,15.29,0.7831,0.9352,0.5377,1.2361,11.69,NA,NA,0.069,NA,97.9712
Curryetal2021a,SnowshoeMountainTuff,43.73,9.12,14.53,12.62,0.7516,2.26,0.9734,1.83,11.68,NA,NA,NM,NA,97.5251
Curryetal2021a,SnowshoeMountainTuff,47.45,6.25,13,14.71,0.7655,1.3525,0.6385,1.4,11.69,NA,NA,NM,NA,97.2735
Curryetal2021a,SnowshoeMountainTuff,48.17,5.75,12.84,15.02,0.7779,1.1885,0.5834,1.3426,11.62,NA,NA,NM,NA,97.3276
Curryetal2021a,SnowshoeMountainTuff,48.26,5.76,12.9,14.9,0.7804,1.1485,0.6116,1.2934,11.61,NA,NA,NM,NA,97.2639
Curryetal2021a,SnowshoeMountainTuff,48.03,6.47,13.35,14.31,0.732,1.2657,0.6358,1.36,11.63,NA,NA,NM,NA,97.7835
Curryetal2021a,SnowshoeMountainTuff,44.33,8.4,14.51,12.99,0.6702,2.03,0.9212,1.77,11.68,NA,NA,NM,NA,97.3678
