DataSource,Eruption,Li_ppm,Ti_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curryetal2021a,NelsonMountainTuff,37.1,713.1,224.4,44.1,16.6,102.4,20.3,5,335.9861587,43.11815461,76.17081457,7.260052068,21.6514555,3.011867157,0.368548929,2.166013833,0.359453073,2.234153038,0.486061601,1.69778828,0.279951944,2.262575028,0.368435743,4.064456221,1.238120205,27.82864093,15.22000773,6.21097721
Curryetal2021a,NelsonMountainTuff,20.5,746.9,238.1,48.6,16.6,107.1,19.7,6.9,323.9444314,41.79771325,73.66166099,7.298069046,22.03212199,3.029041906,0.330070536,2.407527554,0.351505499,2.273708572,0.491236754,1.669523277,0.261263132,1.989997492,0.352524431,3.93353751,1.185468388,27.08197112,13.69652204,5.381789348
Curryetal2021a,NelsonMountainTuff,12.9,628.7,247.1,36.2,13.6,89.6,18.9,5.9,255.5110669,35.87146849,61.84995577,5.866036034,17.20416124,2.511055847,0.233149695,1.684216888,0.307308301,1.939163426,0.433291971,1.402396114,0.23138715,1.72043878,0.286331077,3.323712605,1.100411582,23.87607545,12.70263814,5.346026432
Curryetal2021a,NelsonMountainTuff,36.9,711.1,224.9,43.5,16.3,101.1,20.6,5,332.7220871,42.64563115,75.30245464,7.041142889,21.11863347,2.961304426,0.374109772,2.142918976,0.34637881,2.251040672,0.50419403,1.623569957,0.276002089,2.1594447,0.351914178,3.980452238,1.233343698,27.87802264,14.96404302,6.135824951
Curryetal2021a,NelsonMountainTuff,26.5,710.1,230.6,42.9,16.5,99.9,20.8,5.4,321.3955295,41.44284439,73.47293184,6.740793431,20.00853025,2.988100621,0.341594247,2.159407852,0.332758139,2.207284247,0.484509784,1.643955165,0.28614321,2.182493793,0.348413376,4.029430781,1.211940099,25.90835911,15.00150162,6.059043934
Curryetal2021a,NelsonMountainTuff,27.4,733.4,252.5,61.4,15.5,106.1,20.3,8.7,288.8219465,41.77033543,68.1059738,6.600828579,19.70718867,2.854510395,0.407188596,2.224131915,0.327788674,2.23348551,0.488237461,1.524954275,0.241190459,2.043123364,0.328604753,4.418688847,1.257713864,23.2332187,15.52491567,6.199365336
Curryetal2021a,NelsonMountainTuff,23,640.8,194.9,12.9,24.7,125.8,26.9,3.7,31.51591149,35.53041405,67.65796982,7.021371291,23.52636418,4.578410865,0.231231168,3.425190525,0.578086724,3.754147659,0.747319796,2.520475555,0.426996488,3.010065627,0.453057778,5.247202399,1.605226756,28.58939307,15.67075541,5.799120353
Curryetal2021a,NelsonMountainTuff,74.3,905.5,224.5,61.9,16,124.8,20.2,7,327.4714739,41.15882179,66.57010236,7.315528743,23.46586126,3.681701408,0.51650415,2.529072277,0.389196283,2.432768618,0.510268407,1.594841477,0.279893521,1.845082087,0.295867192,4.20709409,1.196524668,20.28963726,13.10440969,4.79027603
Curryetal2021a,NelsonMountainTuff,31.2,681.9,186.1,45.3,15.3,98.4,20.1,4.9,240.1740084,39.29177548,66.45981063,6.589639826,20.18689168,2.750831434,0.39801323,2.14145171,0.294529497,2.037646689,0.472108028,1.616317624,0.267252014,1.880943199,0.316472792,3.907569314,1.223534273,21.62731156,13.89775269,5.614615145
Curryetal2021a,NelsonMountainTuff,58.8,963.1,202.2,67.1,19,141.2,22.1,6.2,414.5707078,45.79042929,79.90712447,8.375284586,27.81005841,4.297473962,0.622510875,2.96254559,0.464954676,2.894685819,0.63629523,1.958413318,0.312154519,2.364027296,0.367060977,4.915590959,1.340956801,22.13726525,13.77275322,5.292166799
Curryetal2021a,NelsonMountainTuff,20.3,646,195.1,13.4,25.5,125.6,27.1,3.8,34.75800742,36.01346685,69.48197464,7.296513183,23.60210179,4.42528092,0.238365149,3.622819783,0.590916707,3.833103547,0.853284849,2.520304163,0.40744982,3.140648697,0.45863525,5.215722051,1.611403713,26.88722877,15.78552994,5.805064565
Curryetal2021a,NelsonMountainTuff,25.1,632.2,191.2,11.5,23.1,113.4,27,3.6,31.88651011,33.13719971,65.54348344,6.992378396,22.29853358,4.059328267,0.215256202,3.45011445,0.558114245,3.435404405,0.726182839,2.34410554,0.368365124,2.664623,0.389951578,4.706873295,1.572850921,25.80102215,14.62000512,5.694462833
Curryetal2021a,NelsonMountainTuff,21.6,634.8,192.6,12.7,23.5,117.1,27.1,3.6,32.00297098,33.76823367,67.18040843,6.979833674,22.9896883,4.201919602,0.222551479,3.650446571,0.54130678,3.605271978,0.75002914,2.493799309,0.391479918,2.714430224,0.402879231,4.807730169,1.572329283,26.58882038,14.93540947,5.778881659
Curryetal2021a,NelsonMountainTuff,15.5,631.1,200.2,8.8,22.2,117.7,26.9,3.4,26.24840655,32.05675078,62.16346574,6.504768298,21.5360047,4.188097008,0.19456324,3.063921715,0.503832851,3.348116382,0.688570671,2.188338588,0.340984641,2.690395544,0.394025707,4.779442337,1.594332215,30.0021474,13.78968395,5.24376685
Curryetal2021a,NelsonMountainTuff,21,627.7,188.1,9.1,23.6,118.2,27.1,3.5,29.95810973,33.95361939,66.54700469,7.001339378,23.19003966,4.173536555,0.242204486,3.553511695,0.550751004,3.718109623,0.747916304,2.412825844,0.392156691,2.739792074,0.419306248,4.98342886,1.615642183,24.94814304,15.10079246,5.747232543
Curryetal2021a,NelsonMountainTuff,20.7,640.8,191.2,9,24.2,120.8,27.2,3.5,30.39086797,34.34085038,67.1601784,7.08932498,23.3533628,4.500832541,0.224113542,3.61490929,0.575341273,3.610203648,0.760038368,2.483368123,0.392913115,2.805624012,0.426664527,4.913194817,1.623388947,25.41348872,15.21960533,5.774574955
Curryetal2021a,NelsonMountainTuff,16.5,620.1,188.8,9,23.8,118.3,26.9,3.5,29.52327578,33.22324881,65.35439009,6.846592965,22.08285516,3.96214892,0.244543505,3.497379389,0.527897674,3.474207465,0.772525573,2.361806086,0.383980324,2.775145698,0.426546897,4.824086662,1.600992955,22.94594395,14.52149503,5.554469356
