DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Sliwinskietal2017,MasonicParkTuff,52.51,0.2027,1.1174,8.92,0.7666,14.25,21.93,0.4142,100.1109
Sliwinskietal2017,MasonicParkTuff,52.25,0.1612,1.1057,9.03,0.7856,14.19,22.16,0.4149,100.0974
Sliwinskietal2017,MasonicParkTuff,52.6,0.1503,0.9866,8.56,0.7195,14.22,22.4,0.3888,100.0252
Sliwinskietal2017,MasonicParkTuff,52.66,0.1551,1.0065,8.73,0.7566,14.23,22.17,0.3696,100.0778
Sliwinskietal2017,MasonicParkTuff,52.79,0.1802,1.0325,8.69,0.7047,14.26,22.11,0.3838,100.1512
Sliwinskietal2017,MasonicParkTuff,52.77,0.1541,1.0311,8.74,0.7148,14.17,22.1,0.3829,100.0629
Sliwinskietal2017,MasonicParkTuff,52.77,0.1572,1.0416,8.7,0.7471,14.35,22.23,0.4122,100.4081
Sliwinskietal2017,MasonicParkTuff,52.55,0.1791,1.0231,8.83,0.8107,14.32,22.17,0.3974,100.2803
Sliwinskietal2017,MasonicParkTuff,52.57,0.175,1.1496,8.9,0.7751,14.28,21.97,0.4615,100.2812
Sliwinskietal2017,MasonicParkTuff,52.54,0.1806,1.1378,8.83,0.7362,14.29,21.99,0.4251,100.1297
Sliwinskietal2017,MasonicParkTuff,52.82,0.1827,1.0809,8.91,0.7186,14.39,21.76,0.404,100.2662
Sliwinskietal2017,MasonicParkTuff,52.75,0.2086,1.2217,8.86,0.7407,14.28,22.04,0.4363,100.5373
Sliwinskietal2017,MasonicParkTuff,52.9,0.2126,1.1452,8.94,0.7503,14.45,21.97,0.4361,100.8042
Sliwinskietal2017,MasonicParkTuff,52.6,0.1849,1.1715,9.02,0.6954,14.29,21.84,0.4523,100.2541
Sliwinskietal2017,MasonicParkTuff,52.63,0.1829,1.176,9.01,0.7462,14.28,21.8,0.4266,100.2517
Sliwinskietal2017,MasonicParkTuff,52.75,0.1714,1.1346,8.83,0.743,14.3,21.64,0.389,99.958
Sliwinskietal2017,MasonicParkTuff,52.97,0.1575,1.101,8.75,0.673,14.32,21.78,0.4054,100.1569
Sliwinskietal2017,MasonicParkTuff,52.86,0.1757,1.1325,8.91,0.7079,14.34,21.62,0.3913,100.1374
Sliwinskietal2017,MasonicParkTuff,52.91,0.1878,1.1461,8.91,0.6966,14.34,21.79,0.4165,100.397
Sliwinskietal2017,MasonicParkTuff,52.65,0.2326,1.2872,9.06,0.6784,14.21,21.92,0.4149,100.4531
Sliwinskietal2017,MasonicParkTuff,52.43,0.1509,1.1618,8.78,0.7436,14.37,21.93,0.4201,99.9864
Sliwinskietal2017,MasonicParkTuff,52.58,0.158,1.0198,8.71,0.7306,14.33,21.97,0.4135,99.9119
Sliwinskietal2017,MasonicParkTuff,52.07,0.1862,1.0505,8.76,0.7266,14.4,22.23,0.4092,99.8325
Sliwinskietal2017,MasonicParkTuff,52.4,0.1912,1.2435,8.87,0.7598,14.22,22,0.4107,100.0952
Sliwinskietal2017,MasonicParkTuff,52.68,0.1949,1.0827,8.71,0.7426,14.59,22.17,0.375,100.5452
Sliwinskietal2017,MasonicParkTuff,52.74,0.1739,1.0051,8.74,0.7114,14.38,22.06,0.4001,100.2105
Sliwinskietal2017,MasonicParkTuff,52.75,0.1621,0.9808,8.71,0.72,14.5,21.95,0.3705,100.1434
Sliwinskietal2017,MasonicParkTuff,52.88,0.1349,0.9728,8.8,0.7103,14.57,21.99,0.391,100.449
Sliwinskietal2017,MasonicParkTuff,52.87,0.1874,1.0068,8.75,0.7661,14.47,21.75,0.3641,100.1644
Sliwinskietal2017,MasonicParkTuff,52.63,0.1677,1.0437,8.73,0.7365,14.36,21.63,0.4136,99.7115
Sliwinskietal2017,MasonicParkTuff,51.92,0.1745,1.0854,8.89,0.815,14.43,21.59,0.392,99.2969
Sliwinskietal2017,MasonicParkTuff,49.84,0.5258,1.9658,9.84,0.6076,14.31,19.39,0.3344,96.8136
Sliwinskietal2017,MasonicParkTuff,52.19,0.5346,2.0268,9.08,0.6159,14.46,20,0.3527,99.26
Sliwinskietal2017,MasonicParkTuff,52.06,0.3443,1.8935,8.5,0.699,14.29,21.97,0.6228,100.3796
Sliwinskietal2017,MasonicParkTuff,52.49,0.1711,1.1022,8.72,0.7796,14.44,21.65,0.5732,99.9261
Sliwinskietal2017,MasonicParkTuff,52.8,0.1926,1.3117,8.96,0.6789,14.31,21.6,0.6522,100.5054
Sliwinskietal2017,MasonicParkTuff,53.14,0.1632,0.9919,8.52,0.7728,14.31,21.94,0.5515,100.3894
Sliwinskietal2017,MasonicParkTuff,52.14,0.1748,1.0517,8.73,0.6861,14.4,21.74,0.6066,99.5292
Sliwinskietal2017,MasonicParkTuff,52.37,0.2346,1.3263,8.48,0.7069,14.27,21.73,0.6185,99.7363
Sliwinskietal2017,MasonicParkTuff,53.11,0.1753,0.9279,8.43,0.8199,14.25,22.43,0.59,100.7331
Sliwinskietal2017,MasonicParkTuff,52.63,0.156,0.8737,8.42,0.7871,14.25,22.21,0.5551,99.8819
Sliwinskietal2017,MasonicParkTuff,51.97,0.1166,0.9376,8.54,0.8262,14.06,22.75,0.5967,99.7971
Sliwinskietal2017,MasonicParkTuff,51.76,0.1607,1.0065,8.4,0.7638,14.75,22.01,0.5022,99.3532
Sliwinskietal2017,MasonicParkTuff,52.06,0.2135,1.1586,8.84,0.7536,14.46,22.5,0.613,100.5987
Sliwinskietal2017,MasonicParkTuff,52.21,0.1768,1.0626,8.33,0.6398,14.61,21.99,0.5701,99.5893
Sliwinskietal2017,MasonicParkTuff,53.22,0.1982,1.1911,9.1,0.6687,14.47,21.54,0.4065,100.7945
Sliwinskietal2019,NelsonMountainTuff,53.6,0.2,0.8,9.4,0.8,13.9,22.6,0.1,101.4
Sliwinskietal2019,NelsonMountainTuff,53.4,0,0.6,8.7,0.9,13.9,23,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53,0,0.8,9.7,1,13.4,22.7,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53.3,0.1,0.7,8.6,0.7,14.2,22.5,0.1,100.2
Sliwinskietal2019,NelsonMountainTuff,53.4,0.3,0.9,8.9,0.6,14.7,21.7,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.1,0.3,0.8,8.7,0.5,14.6,22,0.1,100.1
Sliwinskietal2019,NelsonMountainTuff,53.2,0.2,0.5,8.8,0.8,13.9,22.6,0.1,100.1
Sliwinskietal2019,NelsonMountainTuff,52.9,0.2,0.7,8.4,0.7,14,22.7,0.1,99.7
Sliwinskietal2019,NelsonMountainTuff,53.3,0.3,0.9,8.9,0.7,14.4,21.9,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,52.9,0.3,0.6,8.5,0.7,14.3,22.1,0,99.4
Sliwinskietal2019,NelsonMountainTuff,53,0.1,0.8,9.3,0.8,13.6,22.9,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.2,0.2,0.8,8.4,0.8,14.3,22.6,0,100.3
Sliwinskietal2019,NelsonMountainTuff,53,0.2,1,9.5,0.8,13.3,22.8,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53,0.3,1,9,0.7,14.2,22.4,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53.1,0.1,0.7,9.1,0.8,14.4,22,0.1,100.3
Sliwinskietal2019,NelsonMountainTuff,52.6,0.2,0.9,9,0.9,13.5,23,0,100.1
Sliwinskietal2019,NelsonMountainTuff,52.9,0.4,1.3,9.4,0.8,14.5,21.7,0.1,101.1
Sliwinskietal2019,NelsonMountainTuff,52.7,0.2,0.9,9.9,0.8,13.4,22.4,0.1,100.4
Sliwinskietal2019,NelsonMountainTuff,53.3,0.2,0.7,8.8,0.8,14.1,22.6,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,52.8,0.2,0.6,8.4,0.8,14.4,22.7,0.1,100
Sliwinskietal2019,NelsonMountainTuff,52.7,0.3,0.8,8.5,1.2,13.7,22.6,0.1,99.9
Sliwinskietal2019,NelsonMountainTuff,52.3,0.5,1.7,9.2,0.4,15.2,21.3,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,52,0.5,1.5,10.3,0.4,15,20.5,0.1,100.3
Sliwinskietal2019,NelsonMountainTuff,52.6,0.3,1,8,0.7,14.4,22.3,0.1,99.4
Sliwinskietal2019,NelsonMountainTuff,52.7,0.5,1.2,9,0.5,14.9,21.2,0.1,100.1
Sliwinskietal2019,NelsonMountainTuff,53.2,0.2,0.6,8.4,0.8,14.2,23.1,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,52.8,0.4,2.3,7.6,0.1,16.4,20.9,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.3,0.2,0.7,9,1.3,14.1,22.4,0.1,101.1
Sliwinskietal2019,NelsonMountainTuff,51.4,0.7,2.6,9.2,0.3,15.4,20.8,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,53.1,0.2,0.8,8.9,0.8,14.1,22.5,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,52.9,0.4,0.8,8.7,0.6,15.5,22,0.4,101.3
Sliwinskietal2019,NelsonMountainTuff,52.8,0,0.9,9.6,0.7,13.1,22.7,0,99.8
Sliwinskietal2019,NelsonMountainTuff,53.2,0.2,0.6,8.9,1,14.2,21.8,0.1,100
Sliwinskietal2019,NelsonMountainTuff,52.8,0.2,0.8,8.8,0.9,14,22.1,0.1,99.7
Sliwinskietal2019,NelsonMountainTuff,53.6,0.3,0.8,8.9,1,14.5,22.1,0.1,101.3
Sliwinskietal2019,NelsonMountainTuff,53.5,0.1,0.5,8.9,0.8,14.2,23.3,0.1,101.4
Sliwinskietal2019,NelsonMountainTuff,53.4,0.1,0.6,8.3,0.8,14.7,22.7,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53.4,0.1,0.7,9.2,0.8,13.9,23.1,0.1,101.3
Sliwinskietal2019,NelsonMountainTuff,53,0.2,0.8,8.7,0.7,14.5,22.5,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,53.2,0.1,0.7,9.2,0.9,13.6,22.8,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.4,0.3,0.9,8.9,0.8,14.2,22,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.2,0.1,0.6,8.6,0.8,14.2,22.5,0.1,100.1
Sliwinskietal2019,NelsonMountainTuff,53.4,0.2,0.7,8.6,0.7,14.7,22.1,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,53.7,0.2,0.6,8.3,0.7,14.6,22.9,0.1,101.1
Sliwinskietal2019,NelsonMountainTuff,53.2,0.1,0.8,9.4,0.8,13.5,22.7,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53,0.1,0.8,9.9,0.7,13.2,22.5,0.1,100.3
Sliwinskietal2019,NelsonMountainTuff,52.9,0.1,0.8,9.4,0.9,13.8,22.1,0.1,100.1
Sliwinskietal2019,NelsonMountainTuff,53.2,0.3,1.1,8.6,0.6,14.8,22.2,0.1,100.9
Sliwinskietal2019,NelsonMountainTuff,53.3,0.1,0.7,9,0.7,13.8,22.8,0,100.4
Sliwinskietal2019,NelsonMountainTuff,53.2,0.1,0.7,9,0.8,13.8,22.8,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,52.9,0,0.7,8.9,1.2,13.5,22.5,0.1,99.8
Sliwinskietal2019,NelsonMountainTuff,53,0.2,0.7,9.3,1,13.5,22.5,0.1,100.3
Sliwinskietal2019,NelsonMountainTuff,53,0.2,0.8,9,0.9,13.6,22.8,0.1,100.4
Sliwinskietal2019,NelsonMountainTuff,53.2,0.1,0.7,8.1,0.8,14.8,22.6,0,100.3
Sliwinskietal2019,NelsonMountainTuff,53.4,0.3,0.7,8.8,0.9,14.1,22.7,0.1,101
Sliwinskietal2019,NelsonMountainTuff,52.9,0.1,0.8,9.4,1,13.5,22.8,0.1,100.6
Sliwinskietal2019,NelsonMountainTuff,53.1,0,0.7,8.9,1,13.6,23.1,0.1,100.5
Sliwinskietal2019,NelsonMountainTuff,53.1,0.1,0.6,8.4,0.9,13.7,23,0.1,99.9
Sliwinskietal2019,NelsonMountainTuff,53.1,0.2,0.8,9.4,0.8,13.6,22.7,0.1,100.7
Sliwinskietal2019,NelsonMountainTuff,53.2,0.3,0.8,8.6,0.6,14.5,22.1,0.2,100.3
